stabb,election_year,pres_dem_votes,pres_rep_votes
OR,1976,490407,492120
PA,1976,2328677,2205604
RI,1976,227636,181249
SC,1976,450825,346140
SD,1976,147068,151505
TN,1976,825879,633969
TX,1976,2082319,1953300
UT,1976,182110,337908
VT,1976,81044,102085
VA,1976,813896,836554
WA,1976,717323,777732
WV,1976,435914,314760
WI,1976,1040232,1004987
WY,1976,62239,92717
AL,1972,256923,728701
AK,1972,32967,55349
AZ,1972,198540,402812
AR,1972,198899,445751
CA,1972,3475847,4602096
CO,1972,329980,597189
CT,1972,555498,810763
DE,1972,92283,140357
FL,1972,718117,1857759
GA,1972,289529,881496
HI,1972,101409,168865
ID,1972,80826,199384
IL,1972,1913472,2788179
IN,1972,708568,1405154
IA,1972,496206,706207
KS,1972,270287,619812
KY,1972,371159,676446
LA,1972,298142,686852
ME,1972,160584,256458
MD,1972,505781,829305
MA,1972,1332540,1112078
MI,1972,1459435,1961721
MN,1972,802346,898269
MS,1972,126782,505125
MO,1972,698531,1154058
MT,1972,120197,183976
NE,1972,169991,406298
NV,1972,66016,115750
NH,1972,116435,213724
NJ,1972,1102211,1845502
NM,1972,141084,235606
NY,1972,2951084,4192778
NC,1972,438705,1054889
ND,1972,100384,174109
OH,1972,1558889,2441827
OK,1972,247147,759025
OR,1972,392760,486686
PA,1972,1796951,2714521
RI,1972,194645,220383
SC,1972,189270,478427
SD,1972,139945,166476
TN,1972,357293,813147
TX,1972,1154291,2298896
UT,1972,126284,323643
VT,1972,68174,117149
VA,1972,438887,988493
WA,1972,568334,837135
WV,1972,277435,484964
WI,1972,810174,989430
WY,1972,44358,100464
