,name,icpsrLegis,freshmanYear
443,GRASSLEY (R IA),14226,1981
471,RUDMAN (R NH),14909,1981
475,BRADY (R NJ),14911,1982
478,DAMATO (R NY),14900,1981
480,EAST (R NC),14903,1981
482,ANDREWS (R ND),10569,1981
486,NICKLES (R OK),14908,1981
490,SPECTER (R PA),14910,1981
497,ABDNOR (R SD),14000,1981
509,GORTON (R WA),14904,1981
513,KASTEN (R WI),14242,1981
525,WILSON (R CA),14915,1983
571,HECHT (R NV),14913,1983
576,LAUTENBERG (D NJ),14914,1982
577,BINGAMAN (D NM),14912,1983
608,TRIBLE (R VA),14456,1983
611,EVANS (R WA),14916,1983
644,SIMON (D IL),14275,1985
647,HARKIN (D IA),14230,1985
651,MCCONNELL (R KY),14921,1985
660,KERRY (D MA),14920,1985
685,BROYHILL (R NC),10574,1986
702,GORE (D TN),14423,1985
705,GRAMM (R TX),14628,1985
715,ROCKEFELLER (D WV),14922,1985
721,SHELBY (D AL),14659,1987
725,MCCAIN (R AZ),15039,1987
732,WIRTH (D CO),14282,1987
738,GRAHAM (D FL),15503,1987
739,FOWLER (D GA),14467,1987
756,BREAUX (D LA),13056,1987
759,MIKULSKI (D MD),14440,1987
769,BOND (R MO),15501,1987
775,KARNES (R NE),15505,1987
777,REID (D NV),15054,1987
786,SANFORD (D NC),15504,1986
789,CONRAD (D ND),15502,1987
803,DASCHLE (D SD),14617,1987
814,ADAMS (D WA),10700,1987
822,BUSH (R USA),99908,
836,LIEBERMAN (D CT),15704,1989
839,MACK (R FL),15037,1989
845,AKAKA (D HI),14400,1990
850,COATS (R IN),14806,1989
872,LOTT (R MS),14031,1989
876,BURNS (R MT),15701,1989
878,KERREY (D NE),15702,1989
880,BRYAN (D NV),15700,1989
888,D'AMATO (R NY),14900,1981
913,JEFFORDS (R VT),14240,1989
916,ROBB (D VA),15705,1989
922,KOHL (D WI),15703,1989
935,SEYMOUR (R CA),49100,1991
936,BROWN (R CO),14803,1991
948,CRAIG (R ID),14809,1991
971,WELLSTONE (D MN),49101,1991
983,SMITH (R NH),15116,1991
994,BURDICK2 (D ND),49103,1992
1002,WOFFORD (D PA),49104,1991
1028,CLINTON (D USA),99909,
1037,BOXER (D CA),15011,1993
1038,FEINSTEIN (D CA),49300,1992
1040,CAMPBELL (D CO),15407,1993
1047,COVERDELL (R GA),49301,1993
1052,KEMPTHORNE (R ID),49302,1993
1053,MOSELEY-BRA (D IL),49303,1993
1085,GREGG (R NH),14826,1993
1093,FAIRCLOTH (R NC),49304,1993
1096,DORGAN (D ND),14812,1992
