,name,icpsrLegis,congress
577,BINGAMAN (D NM),14912,112
608,TRIBLE (R VA),14456,100
611,EVANS (R WA),14916,100
644,SIMON (D IL),14275,104
647,HARKIN (D IA),14230,
651,MCCONNELL (R KY),14921,
660,KERRY (D MA),14920,
685,BROYHILL (R NC),10574,
702,GORE (D TN),14423,
705,GRAMM (R TX),14628,107
715,ROCKEFELLER (D WV),14922,
721,SHELBY (D AL),14659,
725,MCCAIN (R AZ),15039,
732,WIRTH (D CO),14282,102
738,GRAHAM (D FL),15503,108
739,FOWLER (D GA),14467,
756,BREAUX (D LA),13056,108
759,MIKULSKI (D MD),14440,
769,BOND (R MO),15501,111
775,KARNES (R NE),15505,
777,REID (D NV),15054,
786,SANFORD (D NC),15504,
789,CONRAD (D ND),15502,112
803,DASCHLE (D SD),14617,
814,ADAMS (D WA),10700,102
822,BUSH (R USA),99908,
836,LIEBERMAN (D CT),15704,112
839,MACK (R FL),15037,106
845,AKAKA (D HI),14400,112
850,COATS (R IN),14806,105
872,LOTT (R MS),14031,
876,BURNS (R MT),15701,
878,KERREY (D NE),15702,106
880,BRYAN (D NV),15700,106
888,D'AMATO (R NY),14900,
913,JEFFORDS (R VT),14240,
916,ROBB (D VA),15705,
922,KOHL (D WI),15703,112
935,SEYMOUR (R CA),49100,
936,BROWN (R CO),14803,104
948,CRAIG (R ID),14809,110
971,WELLSTONE (D MN),49101,107
983,SMITH (R NH),15116,
994,BURDICK2 (D ND),49103,102
1002,WOFFORD (D PA),49104,
1028,CLINTON (D USA),99909,
1037,BOXER (D CA),15011,
1038,FEINSTEIN (D CA),49300,
1040,CAMPBELL (D CO),15407,108
1047,COVERDELL (R GA),49301,106
1052,KEMPTHORNE (R ID),49302,105
1053,MOSELEY-BRA (D IL),49303,
1085,GREGG (R NH),14826,111
1093,FAIRCLOTH (R NC),49304,
1096,DORGAN (D ND),14812,111
1101,INHOFE (R OK),15424,
1112,MATHEWS (D TN),49305,103
1114,HUTCHISON (R TX),49306,112
1116,KRUEGER (D TX),14247,
1117,BENNETT (R UT),49307,
1124,MURRAY (D WA),49308,
1127,FEINGOLD (D WI),49309,
1133,SHELBY (R AL),94659,
1136,KYL (R AZ),15429,112
1144,CAMPBELL (R CO),95407,108
1164,FRAHM (R KS),49504,
1171,SNOWE (R ME),14661,112
1176,ABRAHAM (R MI),49500,
1178,GRAMS (R MN),29367,
1182,ASHCROFT (R MO),49501,
1202,DEWINE (R OH),15020,
1208,WYDEN (D OR),14871,
1209,SANTORUM (R PA),29141,
1217,FRIST (R TN),49502,109
