icpsrLegis,first_congress_in_dataset,last_congress_in_dataset,mc,stabb,first_year,class
1482,93,97,CANNON (D NV),NV,,
39310,107,112,CANTWELL (D WA),WA,,
15408,110,112,CARDIN (D MD),MD,,
40102,107,107,CARNAHAN (D MO),MO,,
15015,107,112,CARPER (D DE),DE,,
1569,93,95,CASE (R NJ),NJ,,
40703,110,112,CASEY (D PA),PA,,
14500,95,106,CHAFEE (R RI),RI,,
49905,106,109,CHAFEE (R RI),RI,,
29512,108,112,CHAMBLISS (R GA),GA,,
13101,93,100,CHILES (D FL),FL,,
1721,93,96,CHURCH (D ID),ID,,
14102,93,95,CLARK (D IA),IA,,
49701,105,107,CLELAND (D GA),GA,,
40105,107,111,CLINTON (D NY),NY,,
14806,101,112,COATS (R IN),IN,,
29555,109,112,COBURN (R OK),OK,,
14009,96,112,COCHRAN (R MS),MS,,
14010,96,104,COHEN (R ME),ME,,
40302,108,110,COLEMAN (R MN),MN,,
49703,105,112,COLLINS (R ME),ME,,
15502,100,112,CONRAD (D ND),ND,,
12102,93,93,COOK (R KY),KY,,
40916,111,112,COONS (D DE),DE,,
40705,110,112,CORKER (R TN),TN,,
40305,108,112,CORNYN (R TX),TX,,
40104,107,109,CORZINE (D NJ),NJ,,
2087,93,94,COTTON (R NH),NH,,
49301,103,106,COVERDELL (R GA),GA,,
14809,102,110,CRAIG (R ID),ID,,
12103,93,102,CRANSTON (D CA),CA,,
29345,106,112,CRAPO (R ID),ID,,
10715,94,96,CULVER (D IA),IA,,
2267,93,95,CURTIS (R NE),NE,,
14900,97,105,D'AMATO (R NY),NY,,
14501,95,103,DANFORTH (R MO),MO,,
14617,100,108,DASCHLE (D SD),SD,,
40101,107,109,DAYTON (D MN),MN,,
14502,95,103,DECONCINI (D AZ),AZ,,
29936,109,112,DEMINT (R SC),SC,,
14901,97,99,DENTON (R AL),AL,,
15020,104,109,DEWINE (R OH),OH,,
14902,97,102,DIXON (D IL),IL,,
14213,97,111,DODD (D CT),CT,,
10513,93,104,DOLE (R KS),KS,,
40303,108,110,DOLE (R NC),NC,,
14103,93,110,DOMENICI (R NM),NM,,
10514,93,93,DOMINICK (R CO),CO,,
14812,103,111,DORGAN (D ND),ND,,
15021,105,112,DURBIN (D IL),IL,,
14703,96,103,DURENBERGER (R MN),MN,,
14310,94,96,DURKIN (D NH),NH,,
12104,93,99,EAGLETON (D MO),MO,,
14903,97,99,EAST (R NC),NC,,
2822,93,95,EASTLAND (D MS),MS,,
49902,106,108,EDWARDS (D NC),NC,,
29537,107,112,ENSIGN (R NV),NV,,
49706,105,112,ENZI (R WY),WY,,
2987,93,93,ERVIN (D NC),NC,,
14916,98,100,EVANS (R WA),WA,,
14704,96,104,EXON (D NE),NE,,
49304,103,105,FAIRCLOTH (R NC),NC,,
10804,93,94,FANNIN (R AZ),AZ,,
49309,103,111,FEINGOLD (D WI),WI,,
49300,103,112,FEINSTEIN (D CA),CA,,
49900,106,108,FITZGERALD (R IL),IL,,
3255,93,94,FONG (R HI),HI,,
14302,94,105,FORD (D KY),KY,,
14467,100,102,FOWLER (D GA),GA,,
49504,104,104,FRAHM (R KS),KS,,
40904,111,112,FRANKEN (D MN),MN,,
49502,104,109,FRIST (R TN),TN,,
3388,93,93,FULBRIGHT (D AR),AR,,
14303,94,102,GARN (R UT),UT,,
20735,111,112,GILLIBRAND (D NY),NY,,
14304,94,105,GLENN (D OH),OH,,
3658,93,99,GOLDWATER (R AZ),AZ,,
40914,111,111,GOODWIN (D WV),WV,,
14423,99,102,GORE (D TN),TN,,
14904,97,106,GORTON (R WA),WA,,
15503,100,108,GRAHAM (D FL),FL,,
29566,108,112,GRAHAM (R SC),SC,,
14628,99,107,GRAMM (R TX),TX,,
29367,104,106,GRAMS (R MN),MN,,
