mc,icpsrLegis,seniority,congress
MERKLEY (D OR),40908,0,111
WARNER (D VA),40909,0,111
BENNET (D CO),40910,0,111
LEMIEUX (R FL),40911,0,111
KIRK (D MA),40912,0,111
KIRK (R IL),20115,0,111
BROWN (R MA),40913,0,111
GOODWIN (D WV),40914,0,111
MANCHIN (D WV),40915,0,111
COONS (D DE),40916,0,111
BYRD (D WV),1366,24,110
KENNEDY (D MA),10808,23,110
INOUYE (D HI),4812,22,110
STEVENS (R AK),12109,20,110
BIDEN (D DE),14101,18,110
DOMENICI (R NM),14103,18,110
LEAHY (D VT),14307,17,110
HATCH (R UT),14503,16,110
LUGAR (R IN),14506,16,110
COCHRAN (R MS),14009,16,110
BAUCUS (D MT),14203,16,110
LEVIN (D MI),14709,15,110
WARNER (R VA),14712,15,110
DODD (D CT),14213,14,110
GRASSLEY (R IA),14226,14,110
SPECTER (R PA),14910,14,110
LAUTENBERG (D NJ),14914,2,110
BINGAMAN (D NM),14912,13,110
HARKIN (D IA),14230,12,110
KERRY (D MA),14920,12,110
MCCONNELL (R KY),14921,12,110
ROCKEFELLER (D WV),14922,12,110
MIKULSKI (D MD),14440,11,110
MCCAIN (R AZ),15039,11,110
REID (D NV),15054,11,110
BOND (R MO),15501,11,110
CONRAD (D ND),15502,11,110
SHELBY (R AL),94659,11,110
LOTT (R MS),14031,10,110
KOHL (D WI),15703,10,110
LIEBERMAN (D CT),15704,10,110
AKAKA (D HI),14400,10,110
CRAIG (R ID),14809,9,110
DORGAN (D ND),14812,9,110
FEINSTEIN (D CA),49300,9,110
GREGG (R NH),14826,8,110
BOXER (D CA),15011,8,110
HUTCHISON (R TX),49306,8,110
BENNETT (R UT),49307,8,110
MURRAY (D WA),49308,8,110
FEINGOLD (D WI),49309,8,110
INHOFE (R OK),15424,8,110
SNOWE (R ME),14661,7,110
KYL (R AZ),15429,7,110
THOMAS (R WY),15633,7,110
WYDEN (D OR),14871,7,110
BROWNBACK (R KS),29523,7,110
ROBERTS (R KS),14852,6,110
DURBIN (D IL),15021,6,110
JOHNSON (D SD),15425,6,110
ALLARD (R CO),29108,6,110
REED (D RI),29142,6,110
SESSIONS (R AL),49700,6,110
LANDRIEU (D LA),49702,6,110
COLLINS (R ME),49703,6,110
HAGEL (R NE),49704,6,110
SMITH (R OR),49705,6,110
ENZI (R WY),49706,6,110
SCHUMER (D NY),14858,5,110
BUNNING (R KY),15406,5,110
LINCOLN (D AR),29305,5,110
CRAPO (R ID),29345,5,110
BAYH (D IN),49901,5,110
VOINOVICH (R OH),49903,5,110
NELSON (D FL),14651,4,110
CARPER (D DE),15015,4,110
ENSIGN (R NV),29537,4,110
STABENOW (D MI),29732,4,110
CANTWELL (D WA),39310,4,110
NELSON (D NE),40103,4,110
CLINTON (D NY),40105,4,110
MURKOWSKI (R AK),40300,3,110
CORNYN (R TX),40305,3,110
CHAMBLISS (R GA),29512,2,110
GRAHAM (R SC),29566,2,110
SUNUNU (R NH),29740,2,110
PRYOR (D AR),40301,2,110
COLEMAN (R MN),40302,2,110
DOLE (R NC),40303,2,110
ALEXANDER (R TN),40304,2,110
BURR (R NC),29548,1,110
COBURN (R OK),29555,1,110
THUNE (R SD),29754,1,110
ISAKSON (R GA),29909,1,110
VITTER (R LA),29918,1,110
DEMINT (R SC),29936,1,110
SALAZAR (D CO),40500,1,110
MARTINEZ (R FL),40501,1,110
OBAMA (D IL),40502,1,110
MENENDEZ (D NJ),29373,1,110
CARDIN (D MD),15408,0,110
SANDERS (Indep VT),29147,0,110
BROWN (D OH),29389,0,110
WICKER (R MS),29534,0,110
KLOBUCHAR (D MN),40700,0,110
MCCASKILL (D MO),40701,0,110
TESTER (D MT),40702,0,110
CASEY (D PA),40703,0,110
WHITEHOUSE (D RI),40704,0,110
CORKER (R TN),40705,0,110
WEBB (D VA),40706,0,110
BARASSO (R WY),40707,0,110
BYRD (D WV),1366,23,109
KENNEDY (D MA),10808,22,109
INOUYE (D HI),4812,21,109
STEVENS (R AK),12109,19,109
BIDEN (D DE),14101,16,109
DOMENICI (R NM),14103,16,109
LEAHY (D VT),14307,15,109
